State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andhra-pradesh,2022,2,520010,5301338,5301338
andhra-pradesh,2022,2,516001,4927880,4927880
andhra-pradesh,2022,3,530026,10427710,10427710
andhra-pradesh,2022,3,517501,9028550,9028550
andhra-pradesh,2022,3,517507,7638906,7638906
andhra-pradesh,2022,3,524002,6897466,6897466
andhra-pradesh,2022,3,522001,6608575,6608575
andhra-pradesh,2022,3,520002,6370783,6370783
andhra-pradesh,2022,3,530016,6352195,6352195
andhra-pradesh,2022,3,515001,6120942,6120942
andhra-pradesh,2022,3,520010,5372903,5372903
andhra-pradesh,2022,3,516001,5350632,5350632
andhra-pradesh,2022,4,530026,10249750,10249750
andhra-pradesh,2022,4,517501,9601016,9601016
andhra-pradesh,2022,4,517507,8255182,8255182
andhra-pradesh,2022,4,530016,6770365,6770365
andhra-pradesh,2022,4,515001,6566772,6566772
andhra-pradesh,2022,4,522001,6419773,6419773
andhra-pradesh,2022,4,520010,5887349,5887349
andhra-pradesh,2022,4,518002,5810257,5810257
andhra-pradesh,2022,4,520002,5685286,5685286
andhra-pradesh,2022,4,516001,5545373,5545373
andhra-pradesh,2023,1,517501,15726677,15726677
andhra-pradesh,2023,1,517507,14231038,14231038
andhra-pradesh,2023,1,530016,11205270,11205270
andhra-pradesh,2023,1,515001,11202633,11202633
andhra-pradesh,2023,1,520010,9654796,9654796
andhra-pradesh,2023,1,518002,8884834,8884834
andhra-pradesh,2023,1,516001,8730141,8730141
andhra-pradesh,2023,1,520011,8055364,8055364
andhra-pradesh,2023,1,520007,7967416,7967416
andhra-pradesh,2023,1,530026,7954047,7954047
andhra-pradesh,2023,2,517501,17533692,17533692
andhra-pradesh,2023,2,517507,16071649,16071649
andhra-pradesh,2023,2,530016,12677134,12677134
andhra-pradesh,2023,2,515001,12455688,12455688
andhra-pradesh,2023,2,520010,10965771,10965771
andhra-pradesh,2023,2,518002,9897206,9897206
andhra-pradesh,2023,2,516001,9681752,9681752
andhra-pradesh,2023,2,520011,9241075,9241075
andhra-pradesh,2023,2,520007,9092492,9092492
andhra-pradesh,2023,2,530026,8876516,8876516
arunachal-pradesh,2018,1,791110,4253,4253
arunachal-pradesh,2018,1,791111,4207,4207
arunachal-pradesh,2018,1,791102,3286,3286
arunachal-pradesh,2018,1,790116,2704,2704
arunachal-pradesh,2018,1,790104,2114,2114
arunachal-pradesh,2018,1,791109,2112,2112
arunachal-pradesh,2018,1,792131,2097,2097
arunachal-pradesh,2018,1,791001,2041,2041
arunachal-pradesh,2018,1,791113,1955,1955
arunachal-pradesh,2018,1,792001,1865,1865
arunachal-pradesh,2018,2,791110,7878,7878
arunachal-pradesh,2018,2,791111,7239,7239
arunachal-pradesh,2018,2,791102,6046,6046
arunachal-pradesh,2018,2,790116,4689,4689
arunachal-pradesh,2018,2,790104,4436,4436
arunachal-pradesh,2018,2,792131,4342,4342
arunachal-pradesh,2018,2,791113,4159,4159
arunachal-pradesh,2018,2,792103,3885,3885
arunachal-pradesh,2018,2,792102,3638,3638
arunachal-pradesh,2018,2,791109,3486,3486
arunachal-pradesh,2018,3,791110,13489,13489
arunachal-pradesh,2018,3,791111,10508,10508
arunachal-pradesh,2018,3,791102,9777,9777
arunachal-pradesh,2018,3,791109,8636,8636
arunachal-pradesh,2018,3,790116,6870,6870
arunachal-pradesh,2018,3,792103,6672,6672
arunachal-pradesh,2018,3,790104,6434,6434
arunachal-pradesh,2018,3,792001,6307,6307
arunachal-pradesh,2018,3,791113,6191,6191
arunachal-pradesh,2018,3,792102,5120,5120
arunachal-pradesh,2018,4,791110,18305,18305
arunachal-pradesh,2018,4,791111,14891,14891
arunachal-pradesh,2018,4,791102,11990,11990
arunachal-pradesh,2018,4,790116,10791,10791
arunachal-pradesh,2018,4,792103,8743,8743
arunachal-pradesh,2018,4,790104,8727,8727
arunachal-pradesh,2018,4,791113,8156,8156
arunachal-pradesh,2018,4,791109,7660,7660
arunachal-pradesh,2018,4,792001,7520,7520
arunachal-pradesh,2018,4,792102,6597,6597
arunachal-pradesh,2019,1,791110,21769,21769
arunachal-pradesh,2019,1,791111,18706,18706
arunachal-pradesh,2019,1,791102,14504,14504
arunachal-pradesh,2019,1,790116,13724,13724
arunachal-pradesh,2019,1,791109,11691,11691
arunachal-pradesh,2019,1,791113,10893,10893
arunachal-pradesh,2019,1,790104,10231,10231
arunachal-pradesh,2019,1,792103,10190,10190
arunachal-pradesh,2019,1,792001,9575,9575
arunachal-pradesh,2019,1,790101,9149,9149
arunachal-pradesh,2019,2,791110,28827,28827
arunachal-pradesh,2019,2,791111,24040,24040
arunachal-pradesh,2019,2,791102,14906,14906
arunachal-pradesh,2019,2,790116,13929,13929
arunachal-pradesh,2019,2,791113,12970,12970
arunachal-pradesh,2019,2,790104,12562,12562
arunachal-pradesh,2019,2,791109,12214,12214
arunachal-pradesh,2019,2,792001,11232,11232
arunachal-pradesh,2019,2,792103,11076,11076
arunachal-pradesh,2019,2,790101,10926,10926
arunachal-pradesh,2019,3,791110,38560,38560
arunachal-pradesh,2019,3,791111,32844,32844
arunachal-pradesh,2019,3,791102,20744,20744
arunachal-pradesh,2019,3,791113,19591,19591
arunachal-pradesh,2019,3,790116,19201,19201
arunachal-pradesh,2019,3,790104,18759,18759
arunachal-pradesh,2019,3,792103,17253,17253
arunachal-pradesh,2019,3,790101,15882,15882
arunachal-pradesh,2019,3,792001,15645,15645
arunachal-pradesh,2019,3,791109,14867,14867
arunachal-pradesh,2019,4,791110,46210,46210
arunachal-pradesh,2019,4,791111,38960,38960
arunachal-pradesh,2019,4,791113,25720,25720
arunachal-pradesh,2019,4,791102,25493,25493
arunachal-pradesh,2019,4,790104,23418,23418
arunachal-pradesh,2019,4,792103,22297,22297
arunachal-pradesh,2019,4,790101,22263,22263
arunachal-pradesh,2019,4,790116,21777,21777
arunachal-pradesh,2019,4,792001,18262,18262
arunachal-pradesh,2019,4,791109,17833,17833
arunachal-pradesh,2020,1,791110,53858,53858
arunachal-pradesh,2020,1,791111,44651,44651
arunachal-pradesh,2020,1,791113,40087,40087
arunachal-pradesh,2020,1,791102,30846,30846
arunachal-pradesh,2020,1,792103,27462,27462
arunachal-pradesh,2020,1,790116,25027,25027
arunachal-pradesh,2020,1,790104,24414,24414
arunachal-pradesh,2020,1,792001,23370,23370
arunachal-pradesh,2020,1,791001,22588,22588
